                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.94004,                0.70435,                 1.1403,                0.84365,                0.73351,                0.82855,                 0.5327,                 1.0151,                0.71857,                 1.1953,              0.0083665,              0.0083665,              0.0083665
                     36,                0.93132,                0.68836,                 1.1368,                0.83084,                0.74027,                0.82021,                0.54994,                0.99049,                0.67805,                 1.1798,               0.008317,               0.008317,               0.008317
                     37,                0.92927,                0.69121,                 1.1382,                0.81082,                0.70808,                0.79036,                0.53001,                 1.0167,                0.73862,                 1.1719,              0.0082675,              0.0082675,              0.0082675
                     38,                0.92317,                0.68251,                 1.1384,                0.83302,                0.70861,                 0.8048,                0.53294,                 1.0192,                0.73137,                 1.1879,               0.008218,               0.008218,               0.008218
                     39,                0.90531,                0.67586,                 1.1244,                0.86413,                0.75107,                0.84312,                0.55433,                0.99888,                 0.6756,                 1.1766,              0.0081685,              0.0081685,              0.0081685
                     40,                0.91595,                0.68143,                  1.132,                0.82858,                0.74958,                0.83106,                0.54793,                0.99243,                0.69341,                 1.1766,               0.008119,               0.008119,               0.008119
                     41,                0.90223,                0.66274,                 1.1245,                 0.8069,                0.77329,                0.83263,                0.55072,                 1.0139,                0.70242,                 1.1827,              0.0080695,              0.0080695,              0.0080695
                     42,                0.90414,                0.66317,                 1.1196,                0.86379,                0.74304,                 0.8395,                0.54337,                 1.0054,                0.69855,                 1.1925,                0.00802,                0.00802,                0.00802
                     43,                0.89038,                0.65547,                 1.1184,                0.81983,                0.72794,                0.81728,                0.53192,                 1.0446,                0.72963,                  1.203,              0.0079705,              0.0079705,              0.0079705
                     44,                0.89496,                0.64231,                 1.1161,                0.85174,                0.74352,                0.82671,                0.54343,                0.99543,                0.69809,                 1.1624,               0.007921,               0.007921,               0.007921
                     45,                0.89906,                0.63946,                 1.1075,                 0.8006,                0.78019,                0.83961,                0.54756,                0.99204,                0.68647,                 1.1605,              0.0078715,              0.0078715,              0.0078715
                     46,                0.88301,                0.64772,                 1.1084,                0.79543,                0.76071,                0.83586,                0.55681,                0.98962,                0.67955,                 1.1853,               0.007822,               0.007822,               0.007822
                     47,                0.88078,                0.63421,                 1.1156,                0.83944,                0.75252,                0.82948,                0.54827,                0.99975,                0.66544,                 1.2014,              0.0077725,              0.0077725,              0.0077725
                     48,                0.86704,                0.62246,                 1.1074,                0.79769,                0.74741,                0.80711,                0.53632,                 1.0024,                0.67836,                 1.1817,               0.007723,               0.007723,               0.007723
                     49,                0.87337,                0.62065,                  1.098,                0.81406,                0.78145,                0.83786,                0.55091,                0.99258,                0.66051,                 1.1757,              0.0076735,              0.0076735,              0.0076735
                     50,                0.87481,                0.61673,                 1.0935,                 0.8176,                0.77109,                0.83212,                0.54794,                 1.0061,                 0.6803,                 1.1787,               0.007624,               0.007624,               0.007624
                     51,                0.86446,                0.60712,                 1.0939,                0.87492,                0.74402,                0.84485,                0.55541,                0.98334,                0.65831,                 1.1633,              0.0075745,              0.0075745,              0.0075745
                     52,                0.86492,                0.60584,                 1.0911,                0.82174,                0.78234,                0.84843,                0.55942,                0.98202,                0.63799,                 1.1713,               0.007525,               0.007525,               0.007525
                     53,                0.85661,                0.59883,                 1.0871,                0.85644,                0.77135,                0.84211,                0.55349,                0.98584,                0.65432,                 1.1595,              0.0074755,              0.0074755,              0.0074755
                     54,                0.85174,                 0.5943,                  1.088,                0.84327,                0.78687,                0.85921,                0.55285,                0.99301,                0.66839,                  1.172,               0.007426,               0.007426,               0.007426
                     55,                0.84658,                0.58751,                 1.0838,                0.86343,                0.76073,                0.85267,                0.55842,                 1.0078,                0.65963,                 1.1951,              0.0073765,              0.0073765,              0.0073765
                     56,                0.84418,                0.58657,                 1.0885,                0.83451,                0.73854,                0.82992,                0.54621,                0.99027,                0.67849,                 1.1884,               0.007327,               0.007327,               0.007327
                     57,                 0.8441,                0.58786,                 1.0947,                0.82572,                0.78066,                0.84316,                0.54507,                 1.0078,                0.63875,                 1.2225,              0.0072775,              0.0072775,              0.0072775
                     58,                0.83728,                0.58102,                 1.0851,                0.83903,                0.76516,                 0.8398,                0.55458,                0.98985,                0.66419,                 1.1798,               0.007228,               0.007228,               0.007228
                     59,                0.84589,                0.58686,                 1.0842,                0.84907,                0.75261,                0.84108,                0.55738,                 1.0016,                0.64503,                 1.1799,              0.0071785,              0.0071785,              0.0071785
                     60,                0.83151,                 0.5674,                 1.0805,                0.87972,                0.73559,                 0.8436,                0.55382,                 1.0217,                 0.6478,                 1.2181,               0.007129,               0.007129,               0.007129
                     61,                 0.8338,                0.56648,                 1.0814,                0.84831,                0.78112,                0.85217,                0.56287,                 0.9882,                0.65981,                 1.1904,              0.0070795,              0.0070795,              0.0070795
                     62,                0.82684,                0.56293,                 1.0773,                0.81381,                0.79511,                0.84841,                0.55935,                 1.0108,                0.65064,                 1.2106,                0.00703,                0.00703,                0.00703
                     63,                0.82021,                0.55378,                 1.0666,                0.85371,                0.76836,                0.84864,                0.55336,                0.98756,                0.65175,                 1.1711,              0.0069805,              0.0069805,              0.0069805
                     64,                0.82552,                0.55979,                  1.069,                0.86955,                 0.7592,                0.84399,                0.55398,                0.99926,                0.65757,                 1.1975,               0.006931,               0.006931,               0.006931
                     65,                0.81439,                0.55194,                 1.0643,                 0.8477,                0.77355,                0.83619,                0.54782,                 1.0194,                0.65163,                  1.193,              0.0068815,              0.0068815,              0.0068815
                     66,                0.80785,                0.54733,                  1.065,                 0.8902,                0.73603,                0.84356,                0.55303,                0.99346,                0.65874,                 1.1896,               0.006832,               0.006832,               0.006832
                     67,                 0.8061,                0.54149,                 1.0615,                0.86219,                0.75143,                0.83621,                0.55098,                 1.0126,                0.66123,                 1.1895,              0.0067825,              0.0067825,              0.0067825
                     68,                0.80448,                0.53975,                 1.0586,                0.86151,                0.75925,                0.83353,                0.54764,                  1.002,                0.64068,                 1.1887,               0.006733,               0.006733,               0.006733
                     69,                0.79598,                0.53884,                 1.0592,                0.81604,                0.79371,                0.84477,                0.55528,                 1.0048,                0.65864,                 1.2069,              0.0066835,              0.0066835,              0.0066835
                     70,                 0.7945,                0.53328,                 1.0546,                0.86978,                0.76939,                0.85016,                0.55564,                 1.0085,                0.63701,                 1.2127,               0.006634,               0.006634,               0.006634
                     71,                0.79643,                0.53264,                 1.0546,                0.86646,                0.73947,                0.83545,                0.55302,                 1.0208,                0.65685,                 1.2187,              0.0065845,              0.0065845,              0.0065845
                     72,                0.78713,                0.52236,                 1.0467,                0.89125,                0.74763,                0.83282,                0.55109,                0.99322,                0.64469,                 1.1895,               0.006535,               0.006535,               0.006535
                     73,                0.78346,                0.51903,                 1.0491,                0.86377,                0.74352,                0.84529,                0.55904,                 1.0231,                0.65213,                 1.2091,              0.0064855,              0.0064855,              0.0064855
                     74,                0.78055,                0.51172,                 1.0458,                0.87514,                0.77101,                0.83605,                 0.5469,                 1.0035,                0.64307,                 1.2098,               0.006436,               0.006436,               0.006436
                     75,                  0.779,                0.51364,                 1.0447,                0.89597,                0.73048,                0.83348,                0.54837,                 1.0086,                 0.6457,                  1.191,              0.0063865,              0.0063865,              0.0063865
                     76,                0.77263,                0.51042,                 1.0369,                0.88004,                 0.7429,                0.84746,                0.54933,                 1.0183,                0.65944,                 1.2007,               0.006337,               0.006337,               0.006337
                     77,                0.77048,                0.51055,                 1.0406,                0.83842,                0.78488,                0.82484,                0.54309,                 1.0167,                 0.6542,                 1.2224,              0.0062875,              0.0062875,              0.0062875
                     78,                 0.7619,                0.50123,                 1.0393,                0.88555,                0.75288,                0.84276,                0.55212,                 0.9993,                0.64731,                 1.2179,               0.006238,               0.006238,               0.006238
                     79,                0.76263,                0.50587,                 1.0365,                0.86921,                 0.7734,                0.84375,                0.54336,                 1.0059,                0.65467,                 1.2073,              0.0061885,              0.0061885,              0.0061885
                     80,                0.76549,                0.50188,                 1.0355,                0.82556,                0.77892,                0.84056,                0.55234,                 1.0065,                0.63743,                 1.2222,               0.006139,               0.006139,               0.006139
                     81,                0.75544,                0.48594,                 1.0323,                0.83673,                0.77079,                0.83745,                0.55981,                 1.0003,                0.63679,                  1.216,              0.0060895,              0.0060895,              0.0060895
                     82,                0.75212,                0.49402,                 1.0331,                0.84731,                0.79492,                0.84467,                0.55372,                0.99395,                0.63784,                 1.2034,                0.00604,                0.00604,                0.00604
                     83,                0.75781,                0.49625,                 1.0329,                0.86652,                0.73762,                0.82507,                0.54988,                 1.0014,                0.65822,                 1.2248,              0.0059905,              0.0059905,              0.0059905
                     84,                0.74733,                0.48416,                 1.0311,                0.85395,                0.73833,                0.82212,                 0.5531,                0.99668,                0.63911,                 1.2153,               0.005941,               0.005941,               0.005941
                     85,                0.75461,                0.48689,                  1.032,                0.83395,                0.75923,                0.82008,                0.54614,                0.99721,                0.64841,                 1.2168,              0.0058915,              0.0058915,              0.0058915
                     86,                0.74565,                0.48926,                  1.029,                0.86652,                0.76203,                0.82879,                0.55399,                 1.0018,                0.63685,                 1.2094,               0.005842,               0.005842,               0.005842
                     87,                0.74954,                0.48353,                 1.0324,                0.85716,                 0.7561,                0.82841,                0.54608,                 1.0001,                0.63995,                 1.2328,              0.0057925,              0.0057925,              0.0057925
                     88,                0.73805,                0.47409,                 1.0246,                0.85914,                0.75071,                0.82673,                0.54953,                 1.0003,                0.64272,                 1.2226,               0.005743,               0.005743,               0.005743
                     89,                0.73496,                0.48043,                 1.0227,                0.87275,                0.75869,                0.84472,                 0.5585,                 1.0007,                0.64758,                 1.2079,              0.0056935,              0.0056935,              0.0056935
                     90,                0.74324,                0.47585,                 1.0235,                0.85675,                0.75399,                0.83331,                0.55184,                 1.0056,                0.63597,                 1.1997,               0.005644,               0.005644,               0.005644
                     91,                0.72623,                0.46788,                 1.0137,                0.87035,                0.76646,                0.83984,                 0.5533,                0.98987,                0.64238,                  1.204,              0.0055945,              0.0055945,              0.0055945
                     92,                0.72969,                0.46695,                 1.0199,                 0.8244,                0.78781,                  0.835,                0.55684,                0.98901,                0.64085,                  1.225,               0.005545,               0.005545,               0.005545
                     93,                0.72246,                0.46709,                 1.0102,                0.85745,                0.75743,                0.82836,                0.55021,                0.99885,                0.63236,                 1.2098,              0.0054955,              0.0054955,              0.0054955
                     94,                0.71769,                 0.4599,                 1.0158,                0.86344,                0.74497,                0.81676,                0.54727,                 1.0077,                 0.6456,                 1.2269,               0.005446,               0.005446,               0.005446
                     95,                0.71377,                0.45893,                  1.011,                0.83658,                0.77077,                0.83484,                0.55193,                 1.0096,                0.64478,                 1.2266,              0.0053965,              0.0053965,              0.0053965
                     96,                  0.714,                0.45233,                 1.0137,                0.90275,                0.74829,                0.84744,                0.55452,                 1.0097,                0.65139,                 1.2157,               0.005347,               0.005347,               0.005347
                     97,                0.70872,                0.45293,                 1.0052,                0.88129,                0.74441,                0.83147,                0.54829,                 1.0123,                0.64986,                 1.2244,              0.0052975,              0.0052975,              0.0052975
                     98,                0.71297,                 0.4556,                 1.0075,                0.81592,                0.78223,                0.83506,                0.55235,                 1.0013,                0.63674,                 1.2215,               0.005248,               0.005248,               0.005248
                     99,                0.70782,                0.45299,                 1.0083,                0.83886,                0.77232,                0.83542,                0.55746,                0.99324,                0.64393,                 1.2199,              0.0051985,              0.0051985,              0.0051985
                    100,                0.70884,                0.45045,                 1.0009,                0.86085,                0.75013,                0.83278,                0.55251,                 1.0023,                0.64273,                 1.2255,               0.005149,               0.005149,               0.005149
                    101,                0.69811,                0.43869,                0.99805,                0.87329,                0.75818,                0.82787,                 0.5497,                 1.0061,                0.64388,                 1.2205,              0.0050995,              0.0050995,              0.0050995
                    102,                0.69366,                0.43887,                0.99532,                0.86293,                0.77193,                0.83158,                0.55218,                0.99692,                0.64209,                 1.2153,                0.00505,                0.00505,                0.00505
                    103,                0.69509,                0.44234,                 1.0022,                 0.8662,                0.76728,                0.83969,                0.55161,                 1.0068,                0.63611,                 1.2303,              0.0050005,              0.0050005,              0.0050005
                    104,                0.68781,                 0.4288,                0.99198,                0.86229,                0.76082,                0.82789,                0.54889,                 1.0077,                0.64691,                 1.2321,               0.004951,               0.004951,               0.004951
                    105,                0.68458,                0.43363,                0.99294,                0.86185,                0.74509,                0.82653,                  0.551,                 1.0078,                0.64182,                 1.2301,              0.0049015,              0.0049015,              0.0049015
                    106,                0.68761,                0.43442,                 0.9941,                0.87732,                0.75192,                0.83222,                0.55896,                 1.0078,                0.65063,                 1.2351,               0.004852,               0.004852,               0.004852
                    107,                0.68367,                0.42107,                0.99509,                0.83231,                0.76462,                0.82512,                0.56168,                 1.0014,                0.65072,                 1.2232,              0.0048025,              0.0048025,              0.0048025
                    108,                0.68331,                  0.427,                0.99333,                0.86447,                0.73932,                0.82857,                0.55339,                  1.011,                0.65759,                 1.2263,               0.004753,               0.004753,               0.004753
                    109,                0.67689,                0.42291,                0.99193,                0.86148,                0.77392,                0.83743,                0.56089,                 1.0056,                0.64607,                 1.2352,              0.0047035,              0.0047035,              0.0047035
                    110,                0.67667,                  0.423,                0.99134,                0.86824,                 0.7676,                0.84091,                 0.5593,                 1.0037,                0.64184,                 1.2292,               0.004654,               0.004654,               0.004654
                    111,                0.67472,                0.42302,                 0.9862,                0.88404,                0.75572,                0.84274,                0.56255,                 1.0062,                 0.6443,                 1.2235,              0.0046045,              0.0046045,              0.0046045
                    112,                0.66469,                0.41598,                0.98343,                0.84441,                0.77096,                0.84153,                0.56166,                 1.0087,                 0.6477,                 1.2425,               0.004555,               0.004555,               0.004555
                    113,                0.66695,                0.42448,                 0.9872,                0.86897,                0.73828,                0.83532,                0.55783,                 1.0149,                0.64595,                 1.2411,              0.0045055,              0.0045055,              0.0045055
                    114,                0.65366,                0.40986,                0.98115,                0.83107,                0.76485,                 0.8369,                0.55938,                 1.0125,                0.64573,                 1.2416,               0.004456,               0.004456,               0.004456
                    115,                0.65688,                0.41574,                0.98517,                0.83224,                0.78779,                0.83873,                0.55903,                 1.0074,                0.63909,                 1.2466,              0.0044065,              0.0044065,              0.0044065
                    116,                0.65462,                0.41186,                0.98637,                0.86128,                0.77549,                0.84132,                0.55833,                 1.0078,                0.64722,                 1.2426,               0.004357,               0.004357,               0.004357
                    117,                0.65113,                 0.4121,                0.97902,                0.86469,                0.76733,                0.83434,                0.55707,                 1.0179,                0.64785,                  1.251,              0.0043075,              0.0043075,              0.0043075
                    118,                0.65493,                0.41408,                0.98541,                0.87555,                0.74938,                0.83452,                0.55461,                 1.0122,                0.64817,                 1.2507,               0.004258,               0.004258,               0.004258
                    119,                 0.6446,                0.40785,                0.97751,                0.87487,                0.75583,                 0.8325,                0.56152,                 1.0092,                0.64573,                 1.2506,              0.0042085,              0.0042085,              0.0042085
                    120,                0.64464,                0.40021,                0.97487,                0.87353,                0.76335,                 0.8343,                 0.5616,                 1.0135,                0.65005,                 1.2467,               0.004159,               0.004159,               0.004159
                    121,                0.63878,                0.39901,                0.97453,                 0.8645,                0.77006,                0.83426,                0.55601,                 1.0113,                0.65143,                  1.243,              0.0041095,              0.0041095,              0.0041095
                    122,                0.63652,                0.40327,                0.97571,                0.85346,                0.76713,                0.82814,                0.55569,                 1.0186,                0.65555,                  1.244,                0.00406,                0.00406,                0.00406
                    123,                 0.6361,                0.40103,                0.97198,                0.86454,                 0.7622,                0.82837,                0.55831,                 1.0186,                0.65442,                 1.2446,              0.0040105,              0.0040105,              0.0040105
                    124,                0.63707,                0.40269,                 0.9742,                0.87114,                0.75116,                0.82485,                0.55364,                 1.0162,                0.65033,                 1.2486,               0.003961,               0.003961,               0.003961
                    125,                0.63603,                0.39696,                0.97572,                0.87697,                0.75312,                0.82021,                0.55126,                 1.0132,                 0.6482,                 1.2399,              0.0039115,              0.0039115,              0.0039115
                    126,                0.63471,                0.39679,                0.97092,                0.85212,                0.76642,                 0.8132,                0.55258,                 1.0154,                0.65229,                 1.2367,               0.003862,               0.003862,               0.003862
                    127,                0.62794,                0.38729,                0.96725,                0.85423,                0.76487,                 0.8246,                0.55379,                  1.013,                0.63613,                 1.2356,              0.0038125,              0.0038125,              0.0038125
                    128,                0.62162,                0.39097,                0.96774,                0.87105,                0.74568,                0.82502,                0.55312,                 1.0115,                0.63742,                 1.2437,               0.003763,               0.003763,               0.003763
                    129,                0.62027,                0.38643,                0.96432,                0.85853,                0.75301,                0.82166,                0.55423,                 1.0123,                0.64355,                  1.246,              0.0037135,              0.0037135,              0.0037135
